question,links,summary,answers,votes,tags
Why is reversed(mylist) so slow?,https://stackoverflow.com/questions/60005302,"(Update: Might only happen in CPython 3.8 32-bit for Windows, so don't be surprised if you can't reproduce it in other versions. See tables in the Update section.) Both iter and reversed result in ...",1,20,python performance 64-bit 32-bit
AWS Fargate Task - awslogs driver - Intermittent Logs,https://stackoverflow.com/questions/54084601,I am running a one-off Fargate Task that runs a small python script. The Task Definition is configured to use awslogs to send logs to Cloudwatch but I am facing a very strange intermittent issue. ...,2,19,python docker python-asyncio amazon-ecs aiohttp
pygame multithread client socket GUI Blocking,https://stackoverflow.com/questions/52607405,"I wanna write a gomoku game with server and client, the terminal version works good, but pygame version just blocked and can't rend anything Here is the game execute function First it start a socket ...",0,18,python sockets user-interface pygame blocking
Python using gattlib for BLE Scanning on Windows 10,https://stackoverflow.com/questions/49238744,I want to create a BLE Connection between my Laptop (Windows 10) and a BLE Device which will be the Master. I installed Bluez and I can detect Bluetooth devices like my Smartphone but no device that ...,2,18,python windows-10 bluetooth-lowenergy
Avoid restarting Jupyter kernel in package develop mode?,https://stackoverflow.com/questions/47902297,I am working on a python package as a developer. The package is stored in a git repo and I use a local branch to debug/fix this package. I use Jupyter notebooks using pip in edit mode to load my local ...,4,18,python python-3.x pip jupyter-notebook
ANTLR4 Python parsing big files,https://stackoverflow.com/questions/35929426,I am trying to write parsers for juniper/srx router access control lists. Below is the grammar I am using: grammar SRXBackend; acl: 'security' '{' 'policies' '{' COMMENT* replaceStmt '{' policy* ...,1,18,python parsing antlr antlr4
OS X cmake can't find PythonLibs 3.4,https://stackoverflow.com/questions/30470628,"python and python3 are installed in OS X Yosemite via Homebrew, but cmake fails to find PythonLibs 3, only 2: CMakeLists.txt: set(Python_ADDITIONAL_VERSIONS 3.4) FIND_PACKAGE(PythonInterp REQUIRED) ...",2,18,python macos python-3.x cmake
Workaround for TypeVar bound on a TypeVar?,https://stackoverflow.com/questions/57590086,Is there some way of expressing this Scala code with Python's type hints? trait List[A] { def ::[B >: A](x: B): List[B] } I'm trying to achieve this sort of thing class X: pass class Y(X): pass ...,1,18,python types type-hinting type-bounds
How to ignore the dependencies of a specific package when installing it with pipenv?,https://stackoverflow.com/questions/51046150,Is there a possibility to install a python package with pipenv without also installing the dependencies? I'm looking for an analogue of pip install package_name --no-dependencies for the Pipfile. I ...,1,17,python pipenv
Set column order in alembic when adding a new column,https://stackoverflow.com/questions/50601917,"I'm struggling to find a clean way (without raw SQL) to set the column order in alembic. For example, I would like to put a new column called 'name' after the 'id' column, something like this: from ...",1,16,python sqlalchemy database-migration alembic
Python Requests: IOError: [Errno 22] Invalid argument,https://stackoverflow.com/questions/35466918,"I am new to Python Requests and am encountering an IOError:[Errno 22] Invalid argument when I attempt a requests.get(). In short, I am attempting to connect to an internal web application using SSL ...",1,16,python ssl python-requests urllib3
"""ModuleNotFoundError: No module named 'pysqlcipher3'"" error while using Python 3.7 on windows 10",https://stackoverflow.com/questions/54128295,"I am trying to decrypt one database file using Python 3.7. To decrypt it, I have to use pysqlcipher3 version for python 3.7. To install it, I have tried by using both commands: pip3 install ...",8,16,python python-3.x pysqlcipher
bson.errors.InvalidDocument: Cannot encode object: True,https://stackoverflow.com/questions/23169728,"I got an error when inserting a document in Mongo using python. document = {u'Status': 'Active', u'Installation': {u'IsFrugal': True, u'IsFeatureSet': True, u'IsEvolving': True, u'...",2,16,python python-2.7 pymongo
"mach-o file, but is an incompatible architecture have 'x86_64', need 'arm64e' M1 MAC",https://stackoverflow.com/questions/70099893,"from PyQt6.QtWidgets import * from model.Department import Department from view.main_window import Ui_Form from model.Department import Department, Employee class Homewidget(QWidget,Ui_Form): ...",1,15,python arm64 apple-m1 mach-o pyqt6
Python AVRO reader returns AssertionError when decoding kafka messages,https://stackoverflow.com/questions/58473110,"Newbie playing with Kafka and AVRO. I am trying to deserialise AVRO messages in Python 3.7.3 using kafka-python, avro-python3 packages and following this answer. The function responsible for ...",1,15,python avro kafka-python
How to apply oversampling when doing Leave-One-Group-Out cross validation?,https://stackoverflow.com/questions/56964533,"I am working on an imbalanced data for classification and I tried to use Synthetic Minority Over-sampling Technique (SMOTE) previously to oversampling the training data. However, this time I think I ...",1,15,python machine-learning scikit-learn cross-validation imblearn
`tiny_malloc_from_free_list` made my pointer `NULL`?,https://stackoverflow.com/questions/51654074,"I am working on code that includes bllipparser Python module, among other things. Feeding it the same dataset, it will intermittently crash (maybe once in three to ten runs). Going through lldb, I ...",1,15,python macos memory-management lldb bllip-parser
Jupyter notebook show and capture output at the same time,https://stackoverflow.com/questions/49524626,"I'm trying to figure out a way to ""save"" the variables in a jupyter notebook but also capture the rich output at the same time. Mainly for reasons of ssh disconnecting, etc. Just assigning to ...",1,15,python ipython jupyter-notebook
Tree-LSTM in Keras,https://stackoverflow.com/questions/46758489,"I would like to use a tree-LSTM in keras, similar to what is described in this article: https://arxiv.org/abs/1503.00075. It is essentially similar to a Long Short-Term Memory network, but with a tree-...",1,15,python deep-learning keras lstm
Attention Layer throwing TypeError: Permute layer does not support masking in Keras,https://stackoverflow.com/questions/45691644,I have been following this post in order to implement attention layer over my LSTM model. Code for the attention layer: INPUT_DIM = 2 TIME_STEPS = 20 SINGLE_ATTENTION_VECTOR = False ...,1,15,python tensorflow keras lstm attention-model
robobrowser won't change cookies,https://stackoverflow.com/questions/45467986,"I have a POST request sent to server from robobrowser, and the server responds with no data. The response headers are as follows (this is the response from Chrome browser and it's the way it supposed ...",0,15,python python-2.7 http python-requests urllib2
Dealing with Concurrent Requests & Connections in Cloud SQL,https://stackoverflow.com/questions/35043927,"We have created an app on App Engine using Datastore. Now we have been led to using Cloud SQL as we wanted to use joins, nested queries and functions such as average, total etc. Data gets migrated ...",0,15,python mysql google-app-engine google-cloud-sql
mpiexec and python mpi4py gives rank 0 and size 1,https://stackoverflow.com/questions/29264640,I have a problem with running a python Hello World mpi4py code on a virtual machine. The hello.py code is: #!/usr/bin/python #hello.py from mpi4py import MPI comm = MPI.COMM_WORLD size = comm....,2,15,python mpi mpi4py mpiexec
"How can I debug ""Exception while resolving variable in template 'unknown'""?",https://stackoverflow.com/questions/43663877,"I keep seeing DEBUG Exception while resolving variable 'exception_type' in template 'unknown'. in my django logs, followed by VariableDoesNotExist: Failed lookup for key [exception_type] in ...",1,15,python django django-templates
"Does Poetry have an equivalent for the flag ""--trusted-host"" that is available on Pip?",https://stackoverflow.com/questions/70104516,"I wish to start using poetry on some projects at work, where I am stuck behind corporate filters that sometimes interfere with certs. If I use pip, I can ignore SSL errors by doing something like the ...",0,14,python python-3.x python-poetry pyproject.toml
Is it possible to write a luigi wrapper task that tolerates failed sub-tasks?,https://stackoverflow.com/questions/61596529,I have a luigi task that performs some non-stable computations. Think of an optimization process that sometimes does not converge. import luigi MyOptimizer(luigi.Task): input_param: luigi....,0,14,python error-handling dataflow luigi data-pipeline
Is there a way in matplotlib to check which artists are in the currently displayed area of the axes?,https://stackoverflow.com/questions/60263459,"I have a program with an interactive figure where occasionally many artists are drawn. In this figure, you can also zoom and pan using the mouse. However, the performace during zooming an panning is ...",1,14,python performance matplotlib
Conda create env from file - How to specify prefix in the file?,https://stackoverflow.com/questions/59392454,I read that the prefix line in the environment.yaml file is not used by conda env create. Two of the posts on SO pointing to this fact are: export conda environment without prefix variable which ...,1,14,python anaconda conda
Postgres and alembic - Assuming SERIAL sequence,https://stackoverflow.com/questions/56911833,"I have a postgres DB, which I manage through SQLAlchemy and alembic (for migrations). When creating a DB migration through alembic, I get the following INFO in the console. INFO [alembic.ddl....",1,14,python postgresql flask alembic
Using Pytorch's Multiprocessing along with Distributed,https://stackoverflow.com/questions/56054164,"I am trying to spawn a couple of process using pytorch's multiprocessing module within a openmpi distributed back-end. What I have is the following code: def run(rank_local, rank, world_size, maingp):...",0,14,python pytorch openmpi
"UWSGI does not redirect application stdout to stdout, only to file",https://stackoverflow.com/questions/55012664,"I have a Flask application running inside a container, where I have setup the logging with the StreamHandler(), so the logs are sent to stdout. When my uwsgi.ini file includes a statement to redirect ...",0,14,python docker flask uwsgi
Grid data-structure and placement algorithm for my Battleships implementation?,https://stackoverflow.com/questions/50662071,I am trying to make my own version of the game Battleships (in German: Schiffe versenken). I have made the game board as a 10x10 dataframe. The coordinates of the ships are created randomly. I have 4 ...,1,14,python list pandas dataframe
Where does the nose.collector look for tests?,https://stackoverflow.com/questions/30282118,"I want to use nose.collector as a test suite for setuptools, as described here. My package's source lives in mypackage/src, and I have tests in mypackage/tests. I have a setup.py that looks like this: ...",2,14,python setuptools nose
Saving multiple images in MayaVi,https://stackoverflow.com/questions/24201190,"I want to render around 500 images and save them to different png files, therefore I wrote a small class which contains my dataset and a renderfunction from mayavi import mlab mlab.options.offscreen=...",1,14,python mayavi
Gunicorn + nginx - Ignoring EPIPE,https://stackoverflow.com/questions/55768090,I have an nginx-gunicorn-flask setup running on google compute and I keep getting the following from gunicorn: [2019-04-19 20:50:49 +0000] [3345] [DEBUG] POST / [2019-04-19 20:50:49 +0000] [3345] [...,3,14,python nginx server gunicorn ubuntu-18.04
